"","Date","ID","Druck","Kraft","HaltZeit","Temp","Dicke1","Dicke2","Dicke3","Dicke4","Dicke","Bieg","BiegSteif","maxKraft","BiegMax","Abst1","Abst2","Abst3","Abst4","kAbst.l","kAbst.k","Energ","FasSchH","Blase","Schmelz","DickeQuality","BiegQuality"
"151",2011-07-22,"609",18,512,3,180,2.75,2.8,2.95,2.9,2.85,9.82,509.164969450102,6000,11,270,136,155,132,42.5,26.8,2791,"tol","nein","gut",1,0
"152",2011-07-22,"610",18,512,2,180,2.8,2.85,3.05,2.95,2.9125,9.37,533.617929562433,6000,10,268,132,154,130,43.2,26.2,2670,"kein","nein","gut",1,0
"153",2011-07-22,"612A",18,512,1,180,2.85,2.95,3.05,3,2.9625,8.95,558.659217877095,6300,10,266,130,151,131,41.7,26.1,2519,"tol","nein","mittel",1,0
"154",2011-07-22,"618G",16,460,3,180,2.75,2.85,3,3,2.9,9.2,543.478260869565,6000,10,268,132,158,132,42.6,26.4,NA,"tol","nein","mittel",1,0
"157",2011-07-22,"621",20,575,2,185,2.55,2.6,2.75,2.7,2.65,8.86,564.334085778781,6000,10,278,142,160,143,43.8,28.5,2785,"kein","nein","gut",1,0
"158",2011-07-22,"622",20,575,1,185,2.65,2.8,2.85,2.8,2.775,6.52,766.871165644172,7000,12,270,137,156,139,42.6,27.6,2563,"kein","nein","gut",1,0
"159",2011-07-22,"626",18,512,3,185,2.7,2.8,2.85,2.85,2.8,6.34,788.643533123028,7000,12,273,135,158,137,43.1,27.2,2933,"tol","nein","mittel",1,0
"160",2011-07-22,"627",18,512,2,185,2.7,2.8,2.9,2.85,2.8125,5.906,846.596681341009,6300,10,271,136,156,140,42.9,27.6,2944,"kein","nein","mittel",1,1
"161",2011-07-22,"628",18,512,1,185,2.85,2.95,3,2.95,2.9375,5.8,862.068965517241,7000,11,265,133,156,135,42.3,26.8,2646,"kein","nein","mittel",1,1
"162",2011-07-22,"629",16,460,3,185,2.75,2.85,2.95,2.9,2.8625,7.21,693.481276005548,7500,12,266,135,155,136,42.1,27.1,2850,"kein","nein","mittel",1,0
"163",2011-07-22,"630",16,460,2,185,2.85,3,3.05,3,2.975,5.63,888.09946714032,7500,11,265,133,152,135,41.7,26.8,2900,"kein","nein","mittel",1,1
"164",2011-07-22,"631",16,460,1,185,2.95,3.05,3.1,3.05,3.0375,5.28,946.969696969697,7500,11,263,130,151,131,41.4,26.1,2600,"kein","nein","mittel",0,1
"165",2011-07-22,"632",14,400,3,185,3,3.1,3.25,3.2,3.1375,6.79,736.377025036819,7600,11,261,129,151,131,41.2,26,2929,"kein","nein","gut",0,0
"166",2011-07-22,"633",14,400,2,185,3,3.1,3.25,3.2,3.1375,6.43,777.604976671851,7300,10,262,130,148,130,41,26,2691,"kein","nein","gut",0,0
"167",2011-07-22,"634",12,340,3,185,3.15,3.3,3.55,3.45,3.3625,5.98,836.120401337793,8000,11,261,123,145,127,40.6,25,2775,"kein","nein","gut",0,1
"171",2011-07-26,"638",16,460,1,190,2.9,2.95,3.1,3.1,3.0125,7.39,676.5899864682,7200,11,263,131,149,131,41.2,26.2,2812,"kein","nein","mittel",0,0
"172",2011-07-26,"639",18,512,1,195,2.8,2.9,3,2.95,2.9125,8.17,611.995104039168,6500,10,266,131,154,131,41,26.2,2818,"kein","nein","gut",1,0
"173",2011-07-26,"640",16,460,3,195,2.7,2.8,2.95,2.9,2.8375,6.32,791.139240506329,6500,10,266,135,155,137,42.1,27.2,3220,"kein","nein","gut",1,0
"174",2011-07-26,"641",16,460,2,195,2.75,2.85,3,2.95,2.8875,5.44,919.117647058823,6400,9,266,134,152,134,41.8,26.8,3110,"kein","nein","mittel",1,1
"175",2011-07-26,"642",16,460,1,195,2.85,3,3.05,3.05,2.9875,5.46,915.750915750916,7000,10,263,131,150,131,41.3,26.2,2860,"kein","nein","mittel",1,1
"177",2011-07-26,"644",14,400,2,195,2.95,3.05,3.3,3.3,3.15,6.86,728.862973760933,7500,12,263,128,149,131,41.2,25.9,3410,"kein","nein","gut",0,0
"178",2011-07-26,"645",16,460,2,200,2.8,2.85,3,3,2.9125,6.54,764.525993883792,6500,10,268,132,153,136,42.1,26.8,5562,"kein","nein","mittel",1,0
"179",2011-07-26,"646",14,400,3,200,2.85,2.95,3.2,3.2,3.05,7.36,679.347826086957,6600,10,264,130,150,132,41.4,26.2,3393,"kein","nein","mittel",0,0
"180",2011-07-26,"647",14,400,2,200,2.9,3,3.25,3.2,3.0875,5.83,857.632933104631,6600,10,263,130,150,130,41.3,26,3129,"kein","nein","mittel",0,1
