"","P.ID","Rezept.ID","Mahlgrad","Mehlmenge","Nasspressen","Wassermenge","Preinfusion.Menge","Pause.Preinfusion","Pressdruck","Geschmack","Suesse","Saeure","Bitterkeit","Koerper","Nachgeschmack","Crema..Farbe","Crema..Festigkeit","Crema..Hoehe","Crema..Tigerung"
112,14,14,2,40,0,25,30,5,50,-1,0,-1,1,-1,0,-1,-2,-1,1
113,14,15,3.5,50,20,25,30,5,50,0,0,-2,0,-1,-1,0,-1,-2,1
114,14,16,3.5,50,0,25,30,5,50,-1,0,-1,0,-1,0,0,-2,-3,0
115,14,17,2,50,0,25,30,5,50,-2,0,-2,3,0,1,-2,-2,-2,1
116,15,1,1,60,20,25,30,5,50,-2,-2,-2,-1,-1,-1,-1,-1,-1,NA
117,15,2,1,60,0,25,30,5,50,2,2,1,2,0,2,-1,-2,-2,NA
118,15,3,1,40,20,25,30,5,50,1,1,1,-1,-1,1,-3,-2,-2,NA
119,15,4,1,40,0,25,30,5,50,1,1,0,1,1,0,-2,-2,-3,NA
120,15,17,2,50,0,25,30,5,50,1,2,1,1,1,0,-1,-1,-1,NA
121,16,1,1,60,20,25,30,5,50,2,1,1,-2,-1,-2,-2,-2,-1,NA
122,16,2,1,60,0,25,30,5,50,1,1,2,-2,-2,-1,0,-1,-1,NA
123,16,3,1,40,20,25,30,5,50,2,2,-2,-2,-2,-3,-3,-2,-2,NA
124,16,4,1,40,0,25,30,5,50,1,0,1,-1,-1,-2,-2,-3,-2,NA
125,16,17,2,50,0,25,30,5,50,1,2,-2,1,-2,-2,-1,-1,-1,NA
126,17,13,2,40,20,25,30,5,50,-1,0,1,1,1,1,-3,-2,-3,-3
127,17,15,3.5,50,20,25,30,5,50,-2,0,-1,-3,-2,-3,-2,-2,-1,0
128,17,16,3.5,50,0,25,30,5,50,-1,0,0,NA,NA,-1,-3,-1,0,-1
129,18,13,2,40,20,25,30,5,50,1,1,-1,-1,-1,0,-1,-2,-2,-2
130,18,14,2,40,0,25,30,5,50,0,0,0,0,0,0,1,-2,-2,-1
131,18,16,3.5,50,0,25,30,5,50,2,2,-2,-3,-2,-3,-3,-3,-3,-1
132,18,18,2,50,20,25,30,5,50,2,-1,-1,-1,-1,-1,-1,-2,-2,-2
133,19,9,3.5,60,20,25,30,5,50,-1,-1,-1,-3,2,2,-1,-2,-1,-2
134,19,11,3.5,40,20,25,30,5,50,-2,1,-1,-2,-1,-3,-2,-2,-1,-3
135,19,18,2,50,20,25,30,5,50,1,0,-1,0,-1,-1,-1,-2,-2,-1
136,13,pre.1,2,75,0,50,30,5,50,0,1,-1,-1,-1,NA,1,1,0,0
137,14,pre.1,2,75,0,50,30,5,50,0,0,-1,1,1,NA,0,0,2,0
138,12,pre.1,2,75,0,50,30,5,50,1,1,2,-2,-1,NA,0,1,1,0
139,20,pre.1,2,75,0,50,30,5,50,-2,0,2,1,NA,NA,0,2,-1,-3
140,8,pre.1,2,75,0,50,30,5,50,-1,0,2,-1,-1,NA,-1,0,0,0
141,13,pre.2,2,100,0,50,30,5,50,-1,-1,1,2,1,NA,0,0,0,1
142,14,pre.2,2,100,0,50,30,5,50,-2,0,-1,2,2,NA,0,2,2,1
143,12,pre.2,2,100,0,50,30,5,50,0,-1,0,1,-1,NA,-1,NA,0,1
144,20,pre.2,2,100,0,50,30,5,50,-1,0,0,0,2,NA,0,2,2,1
145,8,pre.2,2,100,0,50,30,5,50,-1,-2,1,1,0,NA,0,2,2,0
146,13,pre.3,2,85,0,40,30,5,50,1,-1,0,-1,1,NA,1,2,1,0
147,14,pre.3,2,85,0,40,30,5,50,1,0,2,0,0,NA,0,1,0,0
148,12,pre.3,2,85,0,40,30,5,50,2,0,-1,-1,1,NA,1,1,1,0
149,20,pre.3,2,85,0,40,30,5,50,2,1,1,-1,0,NA,0,0,0,-1
150,8,pre.3,2,85,0,40,30,5,50,-2,1,2,-2,-2,NA,2,0,-1,0
151,13,pre.4,2,85,0,100,30,5,50,-3,0,-2,-3,-3,NA,-2,-1,-3,-2
152,14,pre.4,2,85,0,100,30,5,50,-2,0,-1,-1,-2,NA,0,0,0,0
153,12,pre.4,2,85,0,100,30,5,50,-2,0,-2,-2,-3,NA,0,-1,-1,-1
154,20,pre.4,2,85,0,100,30,5,50,-2,1,-1,-2,-3,NA,-1,-2,-2,-3
155,8,pre.4,2,85,0,100,30,5,50,-3,-2,-3,-3,-3,NA,-1,-1,-2,0
156,13,pre.5,2,85,0,50,0,0,50,-2,0,1,2,2,NA,0,2,2,-1
157,14,pre.5,2,85,0,50,0,0,50,1,0,-1,-1,-1,NA,0,0,2,1
158,12,pre.5,2,85,0,50,0,0,50,1,0,-1,-1,1,NA,0,2,2,1
159,20,pre.5,2,85,0,50,0,0,50,2,0,-1,-1,2,NA,-1,2,2,3
160,8,pre.5,2,85,0,50,0,0,50,-2,0,2,2,1,NA,0,2,3,1
161,13,pre.6,2,85,0,50,50,8,50,-2,0,-1,0,-2,NA,0,-2,-2,1
162,14,pre.6,2,85,0,50,50,8,50,-2,0,-1,3,3,NA,0,1,0,1
163,12,pre.6,2,85,0,50,50,8,50,-1,0,2,-2,1,NA,0,1,0,1
164,20,pre.6,2,85,0,50,50,8,50,-2,0,-2,2,1,NA,0,-2,-1,1
